Date,Close,High,Low,Open,Volume
3/12/2020,5.387898922,5.881330667,5.375195577,5.615808961,816540000
3/13/2020,5.998898029,6.003381423,5.470096507,5.741346832,634836000
3/16/2020,4.891974926,5.631749465,4.832195247,5.290755541,726972000
3/17/2020,5.411811352,5.501232193,4.757472375,5.004312759,833632000
3/18/2020,5.051888466,5.229235085,4.500420405,4.984138222,874268000
3/19/2020,5.304706097,5.398360907,4.817002895,5.030466044,765512000
3/20/2020,5.124868393,5.736863297,5.109425222,5.454902148,804636000
3/23/2020,5.297730446,5.392133027,4.944780924,5.123871037,643876000
3/24/2020,6.206633091,6.293314107,5.680322405,5.703985055,1101644000
3/25/2020,6.117959499,6.521472558,6.069139106,6.321708543,793432000
3/26/2020,6.407393456,6.531436242,6.227057635,6.325195839,696108000
3/27/2020,6.295057774,6.553854199,6.194179261,6.22705812,638828000
3/30/2020,6.615376472,6.624592681,6.316477538,6.360565114,602252000
3/31/2020,6.56580925,6.859726425,6.420095865,6.65547855,949960000
4/1/2020,6.054445744,6.514252025,6.009860256,6.367791736,656912000
4/2/2020,6.363306999,6.376508238,6.035514631,6.083587247,675764000
4/3/2020,6.075366497,6.367290695,5.937873058,6.325693997,663212000
4/6/2020,6.685369015,6.722233374,6.300038474,6.35757671,727884000
4/7/2020,6.451978207,6.930714565,6.408886889,6.907051444,784520000
4/8/2020,6.649252892,6.67416122,6.491085551,6.561077722,542444000
4/9/2020,6.549619198,6.79795419,6.48660131,6.775038854,525564000
4/13/2020,6.721486092,6.730203934,6.401415371,6.489839474,398408000
4/14/2020,7.072691441,7.106815496,6.822114538,6.849762686,530948000
4/15/2020,6.995228767,7.078173237,6.859229919,6.90456271,366148000
4/16/2020,7.340456486,7.447561969,7.137454718,7.150655957,745620000
4/17/2020,7.281173706,7.444073359,7.147167405,7.422652172,539120000
4/20/2020,7.149906635,7.310564816,7.105570116,7.154639449,449388000
4/21/2020,6.713017464,7.093116841,6.653237766,7.031842995,735160000
4/22/2020,7.127490044,7.17033242,6.859726853,6.90530858,483356000
4/23/2020,7.074185371,7.301597512,7.049028104,7.169584212,424160000
4/24/2020,7.213175297,7.215167811,6.989250234,7.06397522,352328000
4/27/2020,7.399738312,7.559649226,7.323020809,7.347680193,479388000
4/28/2020,7.257261753,7.577083522,7.251782102,7.547193438,442904000
4/29/2020,7.434110641,7.486916064,7.316792709,7.392015576,379160000
4/30/2020,7.280177593,7.434110462,7.266229045,7.380059363,375916000
5/1/2020,7.043549061,7.195987303,6.995227035,7.082654878,342096000
5/4/2020,7.255517483,7.269217084,6.996222744,6.996222744,317556000
5/5/2020,7.316544533,7.479195265,7.255519153,7.35963586,368896000
5/6/2020,7.417421341,7.522285342,7.358140014,7.396000629,323464000
5/7/2020,7.593772888,7.657039728,7.505348775,7.556659579,373732000
5/8/2020,7.78382206,7.790049022,7.631632756,7.665507869,339216000
5/11/2020,8.035894394,8.082721804,7.750196646,7.778841057,469060000
5/12/2020,7.77385807,8.142499747,7.764143971,8.093679831,493060000
5/13/2020,7.751441002,8.048844839,7.566870745,7.88843607,625852000
5/14/2020,8.001023293,8.006502944,7.659281913,7.812965861,602312000
5/15/2020,8.459581375,8.469294998,7.845095181,7.860787295,987660000
5/18/2020,8.718131065,8.883771054,8.648637258,8.728343533,774460000
5/19/2020,8.773179054,9.05414355,8.730585613,8.757984825,717320000
5/20/2020,8.937076569,9.009808582,8.8561246,8.957999398,587536000
5/21/2020,8.743039131,9.019270769,8.705427457,9.018274987,761068000
5/22/2020,8.993118286,9.059623799,8.681267452,8.79285586,1038764000
5/26/2020,8.685749054,9.148046533,8.640167325,9.123137731,770780000
5/27/2020,8.493953705,8.601058191,7.967393307,8.593337083,1175892000
5/28/2020,8.455846786,8.728342326,8.348491421,8.381370278,734896000
5/29/2020,8.842920303,8.842920303,8.453853649,8.523098504,745256000
6/1/2020,8.77392292,8.808296396,8.657601731,8.800824232,389876000
6/2/2020,8.792854309,8.804810344,8.626218563,8.76396143,391320000
6/3/2020,8.737307549,8.833702644,8.668062709,8.789864492,365440000
6/4/2020,8.738306046,8.914486822,8.649591584,8.699929084,424280000
6/5/2020,8.891312599,8.968064626,8.679994516,8.766216492,481748000
6/8/2020,8.776683807,8.861160479,8.657817014,8.848700869,387736000
6/9/2020,9.016904831,9.080450058,8.723103575,8.771696704,468488000
6/10/2020,9.336627007,9.46944872,9.124062643,9.138267569,632180000
6/11/2020,8.767961502,9.231465258,8.757744375,9.120573116,583652000
6/12/2020,8.903773308,9.157704293,8.675260613,9.133034131,570908000
6/15/2020,9.144244194,9.152716954,8.715626908,8.786897717,400004000
6/16/2020,9.039334297,9.236947472,8.810323517,9.19533179,535716000
6/17/2020,9.206295013,9.269092118,9.041077601,9.084438592,408304000
6/18/2020,9.188354492,9.25264691,9.085186992,9.197325372,254408000
6/19/2020,9.231466293,9.414625524,9.197576189,9.212777352,524160000
6/22/2020,9.496110916,9.500596832,9.243426205,9.270090738,398468000
6/23/2020,9.419607162,9.611488167,9.377244305,9.520282164,375108000
6/24/2020,9.205796242,9.52576391,9.115088369,9.44577128,449372000
6/25/2020,9.459478378,9.474430478,9.152718404,9.32566046,376072000
6/26/2020,9.125556946,9.46944768,9.095653693,9.46944768,592084000
6/29/2020,9.170413017,9.174898933,8.871377614,9.140260703,342248000
6/30/2020,9.467206001,9.495613951,9.23669988,9.28404678,367892000
7/1/2020,9.499351501,9.544954987,9.382728143,9.490131561,326648000
7/2/2020,9.581336975,9.70618403,9.547445925,9.608000558,364056000
7/6/2020,9.807605743,9.876882195,9.68126339,9.710419464,315892000
7/7/2020,9.840001106,10.03761333,9.819068736,9.914261589,357800000
7/8/2020,10.18314362,10.19211545,9.93344953,9.961608416,365480000
7/9/2020,10.47520161,10.53600529,10.20058735,10.34686583,494548000
7/10/2020,10.4455471,10.6209807,10.34537022,10.55469487,497676000
7/13/2020,10.01992035,10.75754017,9.9927577,10.56092514,457076000
7/14/2020,10.34362698,10.36929432,9.754028984,10.04259818,542676000
7/15/2020,10.19435692,10.39944469,10.0234083,10.38075576,403984000
7/16/2020,10.10215759,10.1739256,9.863676824,9.982792679,344964000
7/17/2020,10.16869068,10.21553946,10.05530701,10.19261366,266284000
7/20/2020,10.47694492,10.49737917,10.12408337,10.24120577,284852000
7/21/2020,10.29528236,10.52603846,10.25366668,10.47918874,277036000
7/22/2020,10.40518093,10.56840403,10.25840429,10.3341601,367292000
7/23/2020,10.09716988,10.51307755,9.998986431,10.41638941,411660000
7/24/2020,10.16171169,10.33141406,9.745554942,9.843239322,473292000
7/27/2020,10.38798141,10.40816565,10.18488613,10.19934011,292132000
7/28/2020,10.18264484,10.34860944,10.17641552,10.34088481,271636000
7/29/2020,10.4318428,10.48242937,10.31372414,10.35733325,284508000
7/30/2020,10.57986546,10.58883634,10.26214018,10.34163377,308880000
7/31/2020,10.58061123,10.73187374,10.39944547,10.52927654,386080000
8/3/2020,10.97483921,11.0630546,10.68078791,10.69798249,412720000
8/4/2020,11.19164085,11.19164085,10.87092593,11.01446287,310336000
8/5/2020,11.25045109,11.33517776,11.13033901,11.20783917,249924000
8/6/2020,11.29904366,11.32147133,11.14279805,11.31324763,244316000
8/7/2020,11.1634798,11.46774822,11.00200113,11.27611629,342516000
8/10/2020,11.12909222,11.37155979,10.82158409,11.29779838,427796000
8/11/2020,10.81510448,11.10093208,10.76102825,11.03813402,354512000
8/12/2020,11.40345764,11.43012122,10.92300744,10.95540319,464412000
8/13/2020,11.40619755,11.68405147,11.3192284,11.50886597,374460000
8/14/2020,11.52681065,11.66710793,11.40370795,11.49291959,366436000
8/17/2020,12.29732227,12.36983839,11.77924422,11.81313432,621300000
8/18/2020,12.22131729,12.45581116,12.047379,12.40995863,503448000
8/19/2020,12.09946251,12.27539425,12.05909212,12.25695437,622624000
8/20/2020,12.10195255,12.33520018,11.84054604,11.93648702,921388000
8/21/2020,12.64270878,12.76755582,12.15602831,12.16250765,999868000
8/24/2020,12.67933941,12.87097135,12.46727322,12.84231339,490564000
8/25/2020,12.70899391,12.72020727,12.5333103,12.59012714,289076000
8/26/2020,12.73192024,12.8271131,12.63697645,12.75808571,321244000
8/27/2020,12.58763409,12.80867113,12.52608228,12.74039093,317604000
8/28/2020,13.10546494,13.10571399,12.60183991,12.63423565,537160000
8/31/2020,13.33148861,13.53134335,12.99582155,13.14035474,500840000
9/1/2020,13.78067303,13.9529185,13.39729442,13.44066745,511316000
9/2/2020,14.30464077,14.68378127,13.85944277,14.66084766,874012000
9/3/2020,12.9775219,13.84398571,12.8411707,13.78839849,945128000
9/4/2020,12.58567047,13.13655816,11.67059793,12.74644914,1463684000
9/8/2020,11.87824059,12.51338204,11.6700999,11.70026123,795728000
9/9/2020,12.67789841,12.77187312,12.19605789,12.36381703,736200000
9/10/2020,12.27582741,13.02712884,12.13149916,12.95135038,698684000
9/11/2020,12.12900543,12.61558141,11.86103943,12.44906888,636928000
